Team,Record,ELO,Rank,ELO_Delta,Seed,Region
Loyola-Chicago,21-11,1533.24,65,,,
UAB,21-12,1529.35,66,,,
Chattanooga,23-9,1526.92,67,+9,,
West Virginia,19-13,1524.47,68,-1,,
North Texas,22-8,1522.5,69,-1,,
Ohio State,17-15,1519.87,70,-1,,
Stanford,21-13,1517.78,71,+7,,
Saint Joseph's,22-12,1515.96,72,-2,,
Villanova,19-14,1513.75,73,-2,,
Cincinnati,18-15,1513.48,74,-2,,
Kansas State,16-17,1513.27,75,-2,,
Utah Valley,23-8,1508.88,76,-2,,
Robert Morris,25-8,1507.95,77,-2,,
Northwestern,17-16,1503.5,78,-1,,
Santa Clara,21-12,1500.52,79,+4,,
Rutgers,15-17,1496.8,80,-1,,
Iowa,17-16,1490.57,81,-1,,
Montana,22-9,1479.27,82,+2,,
Arkansas State,24-10,1477.86,83,+17,,
Penn State,16-15,1475.35,84,+1,,
Belmont,21-11,1473.64,85,+1,,
Troy,21-10,1471.3,86,+1,,
UCF,17-16,1470.11,87,+1,,
Colorado,14-20,1468.19,88,+1,,
USC,16-17,1467.6,89,+1,,
Oklahoma State,16-17,1465.07,90,+14,,
UNLV,18-15,1464.18,91,,,
Towson,21-11,1462.34,92,,,
Lipscomb,23-9,1461.59,93,,,
Charleston,23-9,1459.03,94,+1,,
Northern Iowa,19-12,1457.92,95,+1,,
Nebraska,17-14,1457.81,96,+1,,
Saint Louis,17-15,1453.72,97,-15,,
Georgia Tech,17-17,1453.29,98,-17,,
TCU,16-16,1453.11,99,-1,,
Furman,22-9,1451.63,100,-1,,
Jacksonville State,20-12,1450.07,101,+12,,
Minnesota,15-17,1444.6,102,,,
Utah,16-16,1443.76,103,,,
Kent State,21-11,1439.78,104,+14,,
Tulane,17-14,1435.48,105,,,
Bryant,21-11,1431.89,106,,,
Saint Bonaventure,21-12,1431.63,107,-13,,
Miami (OH),23-9,1428.67,108,-1,,
Winthrop,20-11,1425.69,109,-1,,
Middle Tennessee,20-12,1424.91,110,-9,,
Virginia,15-17,1424.84,111,-2,,
Florida State,17-15,1424.02,112,-2,,
Notre Dame,15-18,1423.35,113,-2,,
FAU,17-15,1422.67,114,-2,,
South Carolina,12-20,1414.13,115,,,
Omaha,20-12,1411.76,116,,,
George Washington,20-12,1410.24,117,+2,,
Northern Colorado,22-9,1409.43,118,+2,,
Cornell,16-11,1407.06,119,+2,,
Washington State,19-14,1406.52,120,+2,,
Butler,14-19,1405.01,121,+2,,
LSU,14-18,1402.85,122,+2,,
